    "time",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "Losses",  "uAC[1]",  "uAC[2]",  "uAC[3]",     "uDC"
    0.0362,-301.60274,0.14318618, 301.45956, 2080.7257,-334.74359,-191.55727, 526.30086, 521.69885
    0.0364,-362.70524,0.082042337, 362.62319, 2393.6626,-303.09773,-221.05531, 524.15304, 519.42875
    0.0366,-431.62081,0.020574651, 431.60023, 2772.1889,-271.73428,-251.15961, 522.89389, 518.03172
    0.0368,-503.09367,-0.040974195, 503.13465, 3191.3256,-240.80429,-281.77853, 522.58283, 517.57764
     0.037,-571.81838,-0.10236134, 571.92074, 3619.8426,-210.42524,-312.78668, 523.21192, 518.06923
    0.0372,-632.58025,-0.16334454,  632.7436,  4021.105, -180.6756, -344.0203,  524.6959, 519.43163
    0.0374,-680.37683,-0.22368306, 680.60051, 4355.1299, -151.5967,-375.27998, 526.87668, 521.51676
    0.0376,-710.57827,-0.28313884, 710.86141, 4582.0706,-123.20413,-406.34325, 529.54738, 524.12699
    0.0378,-718.98792,-0.34147828, 719.32939, 4665.7485,-95.480949,-436.95957, 532.44052, 527.00326
     0.038,-701.97426,-0.39846787, 702.37272, 4578.0762,-68.380035, -466.8483, 535.22834, 529.82506
    0.0382, -656.5645,-0.45388811, 657.01839, 4303.2257,-41.828553,-495.71712, 537.54567, 532.23317
    0.0384,-580.52493,-0.50751281, 581.03245, 3841.0841,-15.740685,-523.25401, 538.99469, 533.83421
    0.0386,-470.02475,-5.3259003, 475.35065,  3207.664,-0.46469838,-538.69283, 539.15753, 534.21323
    0.0388,-303.47266,-56.688781, 360.16144, 2521.4566,-0.24678363,-537.51698, 537.76376,  533.1012
     0.039,-76.098967,-163.47429, 239.57326, 1895.4128,0.087375239,-534.82002, 534.73265, 530.41804
    0.0392,-0.24371865,-218.41669, 218.66041, 1694.6941, 143.64898,-531.01684, 387.36787, 526.58083
    0.0394,-0.18364968,-256.33102, 256.51467, 1860.0825, 171.95204,-527.55395, 355.60191, 523.04216
    0.0396,-0.12285584,-310.59346, 310.71631, 2121.5731, 200.94302,  -524.742, 323.79898, 520.12173
    0.0398,-0.061577117,-376.26415, 376.32573, 2463.1442, 230.58615,-522.74947, 292.16332, 517.99792
      0.04,-5.5405621e-005,-448.24162, 448.24168, 2864.5933, 260.82336,-521.70213, 260.87877, 516.80669
    0.0402,0.061466534,-521.15489, 521.09343, 3298.7346, 291.54579,-521.62499,  230.0792, 516.58378
    0.0404, 0.1227459,-589.69016, 589.56741, 3732.4621, 322.61752,-522.48902,  199.8715, 517.31081
    0.0406,0.18354083,-648.65939, 648.47585, 4127.5827, 353.86407,-524.18711, 170.32305, 518.89103
    0.0408, 0.2436115,-693.11303, 692.86942, 4443.2295, 385.08229,-526.55285, 141.47055, 521.16792
     0.041,0.30272058,-718.51882,  718.2161, 4639.6938, 416.03479, -529.3487,  113.3139, 523.91302
    0.0412,0.36063507,-720.78703, 720.42639, 4682.0274, 446.46208,-532.28873,  85.82665, 526.84858
    0.0414,0.41712625,-696.49221, 696.07508,  4545.159, 476.07862,-535.03058, 58.951957, 529.63908
    0.0416,0.47197125,-642.81612, 642.34415,  4216.969, 504.58474,-537.19777, 32.613023, 531.91368
    0.0418,0.52495356,-557.76688, 557.24193, 3702.4841, 531.66644,-538.37879, 6.7123528, 533.26486
     0.042, 16.861274,-448.25014, 431.38887, 3036.7097, 537.75737, -538.1719,0.41452718, 533.29334
    0.0422, 87.525518,-332.73381, 245.20829, 2361.1129,  536.2371,-536.39478,0.15768262, 531.81791
    0.0424, 212.00257,-212.27979,0.27722291, 1678.0893, 533.18699,-405.20509, -127.9819, 528.76378
    0.0426, 237.02617,-237.24996,0.22379096, 1777.3626, 529.52656,-376.65888,-152.86769, 525.05335
    0.0428, 281.25387,-281.41732, 0.1634538, 1979.7946, 526.36999,-344.91198,-181.45801, 521.80837
     0.043,  340.0854,-340.18787,0.10247156, 2273.3142, 523.93179,-313.20173,-210.73007, 519.25257
    0.0432, 408.44699,-408.48808,0.041084907, 2640.1177, 522.36628,-281.72562,-240.64067, 517.55039
    0.0434,  481.1125,-481.09204,-0.020463883, 3057.2892, 521.75498,-250.64554,-271.10944, 516.79382
    0.0436, 552.75523, -552.6733,-0.081931914, 3495.5014,  522.1109,-220.08945,-302.02145, 517.00651
    0.0438, 618.07277,-617.92969,-0.14307661, 3919.3223, 523.37186,-190.14755,-333.22431,  518.1369
     0.044, 671.97327,-671.76961,-0.20365662, 4289.2947, 525.40999,-160.87658,-364.53341,  520.0673
    0.0442, 709.64294, -709.3795,-0.26343292,   4564.45, 528.03105,-132.29894,-395.73212, 522.61308
    0.0444,  726.7108,-726.38863,-0.32216954, 4706.3899,  530.9806,-104.40537,-426.57523, 525.52856
    0.0446, 719.33487,-718.95524,-0.37963472, 4683.4028, 533.95036,-77.157628,-456.79273, 528.51314
    0.0448, 684.29277,-683.85717,-0.43560166, 4474.6908, 536.58509,-50.491499,-486.09359, 531.21802
     0.045, 619.07448,-618.58463,-0.48984947, 4074.2272, 538.49291,-24.321475,-514.17144, 533.25633
    0.0452, 522.03319,-521.27774,-0.75545068, 3491.7287, 539.25396,-0.52052177,-538.73344, 534.21173
    0.0454, 408.34874,-374.97439,-33.374351, 2799.6647, 538.51234,-0.34159969,-538.17074,  533.7301
    0.0456, 289.25961,-167.64534,-121.61427, 2134.8976, 536.15316,-0.046031027,-536.10713, 531.69733
    0.0458, 214.35893,-0.26353964,-214.09539, 1682.9016, 398.06119, 134.52129,-532.58248, 528.15509
     0.046, 245.13142,-0.20376501,-244.92765, 1810.8382, 366.38378, 162.61856,-529.00234, 524.51334
    0.0462, 293.80708,-0.14318622, -293.6639, 2039.4819, 334.58644, 191.40008,-525.98653, 521.40011
    0.0464,  355.5224,-0.082042335,-355.44036, 2353.5839, 302.89234, 220.84992,-523.74226, 519.03234
    0.0466, 425.20293,-0.020574672,-425.18236, 2734.2611, 271.48517, 250.91047,-522.39564,  517.5463
    0.0468, 497.57231,0.040974195,-497.61329, 3156.7284, 240.51673, 281.49097, -522.0077, 517.01356
     0.047, 567.32774,0.10236135, -567.4301, 3589.9822, 210.09947, 312.46093, -522.5604, 517.42669
    0.0472, 629.26218,0.16334454,-629.42552, 3997.5985, 180.31462, 343.65932,-523.97394,  518.7163
    0.0474, 678.36958,0.22368308,-678.59326, 4339.6454,  151.2115,  374.8948, -526.1063, 520.75039
    0.0476, 709.97343,0.28313884,-710.25657, 4575.8394, 122.80447, 405.94359,-528.74806, 523.32889
    0.0478,  719.8473,0.34147719,-720.18877, 4669.5158, 95.075942, 436.55347,-531.62941, 526.19044
     0.048,  704.3246,0.39846788,-704.72307, 4591.9568, 67.980051, 466.44833,-534.42838,  529.0204
    0.0482, 660.39352,  0.453886, -660.8474, 4326.5689, 41.446581, 495.33303,-536.77962, 531.45945
    0.0484, 585.77545,0.50751284,-586.28296, 3872.4122, 15.385302, 522.89865,-538.28395, 533.11297
    0.0486, 476.39509, 5.6330283,-482.02812, 3244.7257, 0.4707616, 538.05379,-538.52455, 533.56721
    0.0488, 310.48424, 57.651433,-368.13567, 2561.8191,0.25283255, 536.97741,-537.23024,  532.5527
     0.049, 83.637208, 164.97377,-248.61098, 1936.2851,-0.081336478, 534.39532,-534.31398,  529.9828
