    "time",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "Losses",  "uAC[1]",  "uAC[2]",  "uAC[3]",     "uDC"
     0.034,-676.86661, 676.66296,0.20365662,  4318.407,-524.01264, 160.17791, 363.83473, 518.66016
    0.0342,-716.80185, 716.53841,0.26343291,  4610.037,-526.71839, 131.64261, 395.07578,  521.2861
    0.0344,-735.96461, 735.64244,0.32216954, 4767.2674,-529.78087,  103.8055, 425.97537, 524.31032
    0.0346,-730.46265, 730.08301,0.37963472, 4757.3055,-532.88863, 76.626764, 456.26187, 527.42915
    0.0348,-697.04032, 696.60472,0.43560166, 4558.4239,-535.68383, 50.040865, 485.64296, 530.29125
     0.035,-633.16121, 632.67136,0.48984947, 4163.8394,-537.77138,  23.96071, 513.81067, 532.50663
    0.0352,-537.18239, 536.41669,0.76569497, 3582.6026,-538.72925,0.53565046,  538.1936, 533.65673
    0.0354,-424.46142, 390.58577, 33.875648,  2888.414,-538.19947,0.35670977, 537.84276,  533.3855
    0.0356, -305.8586, 183.45732, 122.40128, 2216.5187,-536.06143,0.061055975, 536.00037, 531.57318
    0.0358,-223.05634,0.26353964,  222.7928, 1725.4641, -398.1018, -134.5619,  532.6637, 528.21891
     0.036,-253.64998,0.20376501, 253.44622, 1853.8681, -366.4801,-162.71488, 529.19499, 524.68895
    0.0362,-301.89619,0.14318622,   301.753,  2082.231,-334.73958,-191.55322,  526.2928,  521.6902
    0.0364,-363.01875,0.082042337,  362.9367,  2395.366,-303.09697,-221.05455, 524.15151,  519.4266
    0.0366,-431.93675,0.02057467, 431.91617,  2774.009,-271.73667,-251.16198, 522.89865, 518.03584
    0.0368,-503.39809,-0.040974195, 503.43907, 3193.1822,-240.80963,-281.78387,  522.5935, 517.58771
     0.037,-572.10187,-0.10236135, 572.20423, 3621.6536,-210.43098,-312.79244, 523.22342, 518.08016
    0.0372,-632.83963,-0.16334454, 633.00297, 4022.8251,-180.68087,-344.02558, 524.70645, 519.44166
    0.0374,-680.61744,-0.22368308, 680.84112,  4356.788,-151.60471,-375.28801, 526.89272, 521.53231
    0.0376, -710.7886,-0.28313884, 711.07174, 4583.5647,-123.21477,-406.35389, 529.56866, 524.14786
    0.0378,-719.16111,-0.34147719, 719.50259, 4666.9967, -95.49257, -436.9701, 532.46267, 527.02507
     0.038,-702.10684,-0.39846788, 702.50531, 4579.0407,-68.391802,-466.86008, 535.25188, 529.84834
    0.0382,-656.65726, -0.453886, 657.11114,  4303.906,-41.842183,-495.72864, 537.57082, 532.25813
    0.0384,-580.57442,-0.50751284, 581.08193, 3841.4661,-15.753638,-523.26698, 539.02062, 533.86004
    0.0386,-470.03728, -5.314176, 475.35145,  3207.764,-0.46472264,-538.71909, 539.18381,  534.2395
    0.0388,-303.45328,-56.640439, 360.09372, 2521.2011,-0.24681259,-537.54225, 537.78906, 533.12659
     0.039,-76.051003,-163.39507, 239.44608, 1894.8859,0.087343982,-534.84364,  534.7563, 530.44187
    0.0392,-0.24371875,-218.27679,  218.5205, 1694.0709, 143.65989,-531.03877, 387.37888, 526.60304
    0.0394,-0.18364968,-256.15546, 256.33911, 1859.2526, 171.96185,-527.57357, 355.61172, 523.06213
    0.0396,-0.12285583, -310.3922, 310.51505, 2120.5661, 200.95206,-524.76008, 323.80802, 520.14022
    0.0398,-0.061577128,-376.07248, 376.13406, 2462.1552,  230.5987,-522.77459, 292.17589, 518.02343
      0.04,-5.5406e-005,-448.01209, 448.01215, 2863.3235, 260.83467,-521.72474, 260.89007, 516.82976
